t,m,j,apple,arhar (tur),banana,besan,"biscuits, chocolates",black pepper,bread (bakery),brinjal,cabbage,"cake, pastry, prepared sweets",candle ,cauliflower,chicken,chillis (green),chira,cooked meals,"cooked snacks purchased [samosa, puri, paratha,",curry powder,dhania,dry chillies,dung cake,eggs,electricity ,firewood & chips,fish ( fresh ),french beans and barbati,garlic,ginger,goat meat,"gourd, pumpkin",gram (split),gram (whole),groundnut,guava,gur,jeera,kerosene-other sources,kerosene-pds ,lady's finger,leaf tobacco,lemon,lpg,maida,maize & products,masur,matches ,milk: liquid,moong,muri,mustard oil,oilseeds,onion,"orange,mausami",other fresh fruits,other fuel ,other packaged processed food,other served processed food,other spices,other tobacco products ,other vegetables,palak,pan : finished,"papad, bhujia, namkeen, mixture, chanachur",parwal / patal,peas-vegetables,potato,radish,"raisin (kishmish, monacca etc.)","refined oil [sunflower, soyabean, saffola, etc.]",rice - P.D.S.,rice - other sources,salt ,"sewai, noodles",sugar - other sources,"suji, rawa",tea : cups,tea : leaf,tomato,turmeric,"vanaspati, margarine",wheat/atta - P.D.S.,wheat/atta - other sources
1,1,470471201,1087.7531186346694,1240.5444434385158,,395.5610957933804,,,630.429237137413,2077.100808917086,2424.0142579123835,,,3092.084549825146,1144.6752689464304,278.32807873030924,1497.8917913856767,,,,,,,,,59446.63114908698,1209.191418271461,1155.3432116670383,,,1071.8949228709382,2922.3246237582684,1100.6959667656893,848.7440487351975,355.40883600901094,1570.941087766209,589.3227741902787,,,,2007.8235572175843,,,12784.855061821789,875.7950824559504,1993.4386487456181,1500.726360252405,,,1011.5330327801846,824.1566773761281,2367.6950432173694,,3212.144130705895,,,,,,,,,2384.3871241852007,,,1891.0263486890299,1350.8248784139066,9862.406309104972,1785.1890618684845,150.81365981829606,593.0721916113029,16475.462391807738,22329.792500093947,1182.021668160959,431.4130701929532,2487.321833876536,698.1336739764765,,,1689.961422809931,,494.76894870920654,11184.228693610054,21718.496543711717
1,1,470471202,770.8769623187803,1089.813737024978,,395.50389030961423,,,499.2553992745217,1934.1303870862648,2073.9000455121645,,,2658.925417183442,983.7409022943799,251.54046054330257,1334.9512108855818,,,,,,,,,58560.76851043701,1031.9893929412601,1000.9406660166766,,,848.4271015617866,2354.6450226904058,999.3526321122133,772.6597854641885,251.34656626132602,1133.0839084993813,444.1588088236206,,,,1559.4046582285378,,,11455.501722176212,814.1298132497096,1659.4499734604774,1375.2992588657248,,,916.0591256140407,844.0595547826329,2107.484073689974,,2919.4819220972927,,,,,,,,,2138.2268125341393,,,1477.1250276486517,1339.7857617830423,9786.95177873155,1498.7974216690905,125.24574222478938,471.33347692774817,14655.010493769823,18393.08643539321,1092.373774654312,396.88005208377837,1911.8005848571786,540.3504977225656,,,1312.7044128677667,,305.7001865983629,9792.81705963812,18126.15857342079
1,1,470471203,729.1289070440084,1160.6040977962732,,415.5853119167113,,,559.0942138352004,2064.0728783017325,2289.470365188998,,,2786.3244145108806,1137.0736071305018,263.6763523627634,1455.732142068677,,,,,,,,,59233.92194545352,1138.979334364041,1034.4224477356777,,,923.4342147839615,2641.2379581351124,1165.799375069008,833.5531180468803,233.06226963092703,1167.0517321527855,560.2820208032958,,,,1792.510105089431,,,11793.892849669424,915.837289008979,2062.071791438016,1629.0717190804191,,,936.4634756117587,789.5928219151741,2317.7904461836474,,3181.225621929749,,,,,,,,,2244.0377472317346,,,1633.5257538692476,1540.8334963281388,11110.752635081019,1679.3997681695505,112.24414584132985,521.8968349116888,14908.4642254678,24711.484042725853,1287.0865072088045,403.11421896902635,2278.4803331374833,574.0766206088771,,,1389.5618924599912,,403.2990339305014,10262.114414925034,24313.376364318738
1,1,470471204,749.8284165825049,1143.6552984163395,,473.35789373444794,,,793.2951238292826,2499.3568092995706,2965.346205699364,,,3781.2117105473267,1108.7506639954136,301.3074596362258,1703.9054142353234,,,,,,,,,67808.76553852703,1148.576877632808,1356.993112469806,,,1267.960330897992,3128.1036106362076,1305.112648527816,1105.7972437919727,336.02845573392614,1303.254995054426,791.7343091694188,,,,1815.4694090608914,,,13501.06400568288,1014.95803538294,2952.843067079411,2131.985072078555,,,1135.3531923096318,1229.3603786857768,2690.7734721100915,,3192.6008510420806,,,,,,,,,2652.281052673828,,,1512.2629565365023,1264.5643050354724,13416.108191935306,2058.0711077436745,107.99195241965776,694.0199792103527,15408.54443754121,29979.72480590699,1483.6600230412027,423.96648281874656,2375.7419569594354,737.4331303181133,,,1418.2418813540464,,470.6173120101199,10460.198488778955,29619.112778837003
1,1,470471301,472.0363767888785,1157.8923238708576,,311.62485397643405,,,427.6871841580389,1665.5866571966887,1941.939056708503,,,2847.292888352142,997.9459100784769,235.6464977384063,1326.673292938152,,,,,,,,,70535.241200991,1099.8081156599608,751.5108749320246,,,759.5767308376455,2232.8544866730354,978.517488038037,709.1578737462303,168.17043001507508,990.6353468621272,419.18537842702085,,,,1455.753383231596,,,13273.254086768999,802.6423490946647,2821.965557739495,1505.3539691222568,,,1032.7304193950768,609.2794895540834,2276.449723611782,,2953.5117896567845,,,,,,,,,1774.1355342880427,,,1266.0971353422383,1236.7319479268272,9692.42640209455,1446.1946709647084,66.65336440822699,463.6273462718418,16748.842272384427,28630.678375124233,1426.6090207280251,290.48243862328667,2309.994130704044,465.46902041322556,,,1177.2376485244142,,429.04440606800205,11951.8946585397,28468.474871927203
1,1,470471302,833.2574456167772,1583.0516694467772,,546.0500633435398,,,815.6851077988665,2679.177953060688,3178.0011241960106,,,4878.710729605086,1672.3477320376257,332.2105973833798,2123.654492731845,,,,,,,,,82867.99164957875,1658.5543617136798,1133.66305137047,,,1335.4126930475272,3564.6564207892875,1664.9888140708474,1162.9047692281576,308.9762708493601,1640.8445683621517,823.6965310350023,,,,2523.7603464549998,,,15014.405353795077,1260.759444955075,3391.061596096678,2292.0925719232587,,,1293.0828814061065,1068.6153411335906,3400.317010834515,,4321.845364627073,,,,,,,,,2848.204907442642,,,2074.4284102323195,1988.8500267955992,16926.01146895061,2280.6328221964227,142.3650271334753,746.1783614290348,16209.204089258774,56261.38654593806,2024.6647864563172,437.91085994513355,3520.757265294497,754.9682398141646,,,1846.025816054862,,563.7289307366037,13040.563559271794,52145.0349188029
1,1,470491101,1122.3175016559376,1490.4764477969707,,483.017573386991,,,593.2807750206737,2190.0662392498243,2467.8168106949433,,,3233.0058553770414,1360.849089313064,307.0325077783336,1698.7842090256843,,,,,,,,,70311.39856952771,1483.73320570951,1188.2796189625594,,,1116.9196579979991,2894.435052095177,1145.0347693064584,889.5255062536758,377.43732043667933,1418.974646780942,588.0346211377866,,,,1956.145090087553,,,14122.42061071421,985.4708522727783,2119.5228827178425,1566.681221788059,,,1219.1119279288907,838.187541694172,2677.0428622929903,,3749.4463440038453,,,,,,,,,2369.3467084686617,,,1856.8942492039532,1503.1732466214412,10904.467151148876,1853.6502080736457,144.67084613133886,669.9063229846344,17145.854596193614,28068.22274871529,1425.473303663606,474.57961048096837,3015.2764134673134,708.3958741503582,,,1863.189689313547,,561.4165677674981,12912.1852145958,26808.25277421849
1,1,470491102,3627.509555455433,1647.0584151360767,,825.5552676415437,,,1097.6282450448741,2913.3168654970195,2905.819009871027,,,3661.755246411619,1533.7628835926803,402.09821125209413,2394.5131181255924,,,,,,,,,47376.498346641936,2021.9037230205686,2377.8067029717527,,,1434.5336545702269,3740.3227608723996,1286.137053018364,1196.4182022615603,859.666439036018,2145.490054077365,769.2773847359782,,,,3258.2010611781293,,,12752.89087128572,1154.6135056570251,1150.4637577544545,1409.954403153964,,,1340.2739647051337,1211.7980871674379,2709.9575520012904,,4765.949483957469,,,,,,,,,3469.563508702656,,,3089.241800213427,2218.070242762797,10875.510017762137,2640.185780806447,618.7210234127651,898.4200034525348,13906.824435203143,17850.00818453361,981.4468286945248,711.2135500165895,3101.7762571596554,1003.4905057706079,,,3047.5661463563392,,816.7871363249799,9832.755337240782,17329.55552018775
1,1,470491201,686.1522062312831,1244.570983366669,,384.72594672171186,,,381.9446421496139,1853.8210233232985,2151.548577765429,,,2620.2876246753804,1084.582003635422,236.16215912131236,1295.8056175207273,,,,,,,,,68832.64849167457,1075.970115356713,738.1479473541973,,,753.3308756477246,2283.03543408745,999.1340400905754,782.5258171250858,176.64355787031113,1129.777787105172,453.5067936187675,,,,1590.0543777204232,,,12394.944545680613,900.53809420438,1913.2182074821471,1365.6504151001218,,,867.1374664346389,579.3821763092021,2303.6712119508315,,3356.7814244675583,,,,,,,,,2105.9669704221737,,,1607.1039480602196,1486.9281272808953,10399.645001989978,1533.5805204337855,110.01592599648866,535.8424327076516,16054.877098743378,25190.432793179003,1317.7391414681942,389.56675878156057,2321.1049709930785,456.5015810849959,,,1393.047781702261,,406.50704500078973,12051.656044397816,24465.099254062658
1,1,470491202,1853.242814740151,1566.8311452819853,,612.3333707482751,,,614.801445090247,2520.8171173655633,2731.1759334371527,,,3461.251559919048,1466.425737112981,338.10090466205855,1731.5576374870834,,,,,,,,,62608.11454428947,1627.2789400633708,1544.2896085359796,,,1040.7462561812765,3043.345987174256,1030.442704545038,850.6575316034575,393.99700142735327,1678.4391948354137,638.3880517161545,,,,2489.925707366326,,,12223.918475844703,1108.6053316351472,1231.7959933655263,1259.3743834580494,,,1087.723880687258,811.3418924980532,2680.472225947652,,4292.289520684723,,,,,,,,,2859.563249873522,,,2557.562431545462,1975.2881206901848,10837.337078231381,2057.2807436748794,270.6242259109278,777.9783154409093,15682.757435172713,21161.00143779484,1149.8525951091733,544.5186115087023,2958.3626555629776,645.6683804238875,,,2525.6709417439397,,613.2398721910663,12404.09014841506,19944.928138561165
